,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Predictions of TASK
17,The Coronavirus will go down in U.S. history as the Great Toilet Paper Shortage.,"[('coronaviru', 'NN'), ('histori', 'VBZ'), ('great', 'JJ'), ('toilet', 'JJ'), ('paper', 'NN'), ('shortag', 'NN')]",coronaviru histori great toilet paper shortag,1
18,But since y\xe2\x80\x99all know every damn thing where\xe2\x80\x99s the covid cure mf,"[('sinc', 'NN'), ('know', 'VBP'), ('everi', 'RB'), ('damn', 'JJ'), ('thing', 'NN'), ('covid', 'NN'), ('cure', 'NN')]",sinc know everi damn thing covid cure,2
19,@IndianExpress @IndiaToday #COVID19 https://t.co/GVpvHqMB3w,"[('indianexpress', 'NN'), ('indiatoday', 'NN'), ('covid', 'VBP'), ('http', 'NN'), ('gvpvhqmb', 'NN')]",indianexpress indiatoday covid http gvpvhqmb,2
20,this literally happened to me earlier today and the dentist asked \xe2\x80\x9cso what do you think about that corona virus\xe2\x80\x9d \xf0\x9f\x98\x90,"[('liter', 'NN'), ('happen', 'VB'), ('earlier', 'JJR'), ('today', 'NN'), ('dentist', 'VBP'), ('ask', 'NN'), ('think', 'VBP'), ('corona', 'NN'), ('viru', 'NN')]",liter happen early today dentist ask think corona viru,0
21,Please 2021 \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb,"[('pleas', 'NNS')]",plea,2
22,The virus comes from China the beer \xf0\x9f\x8d\xba come from the US just because they sound the same doesn\xe2\x80\x99t mean they are the same one u drink another is Contagious \xf0\x9f\x98\xb7,"[('viru', 'JJ'), ('come', 'VBN'), ('china', 'NNS'), ('beer', 'NN'), ('come', 'VBP'), ('sound', 'JJ'), ('mean', 'JJ'), ('drink', 'NN'), ('anoth', 'DT'), ('contagi', 'NN')]",viru come china beer come sound mean drink anoth contagi,1
23,Health and safety come first. Proud to work here.,"[('health', 'NN'), ('safeti', 'NN'), ('come', 'VBP'), ('first', 'JJ'), ('proud', 'JJ'), ('work', 'NN')]",health safeti come first proud work,1
24,@FPiednoel @realDonaldTrump https://t.co/3xoPrHIBSy,"[('fpiednoel', 'JJ'), ('realdonaldtrump', 'NN'), ('http', 'NN'), ('xoprhibsi', 'NN')]",fpiednoel realdonaldtrump http xoprhibsi,0
25,Can someone with the corona virus spit in her mouth,"[('someon', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('spit', 'NN'), ('mouth', 'NN')]",someon corona viru spit mouth,0
26,@BernieSanders That had nothing to do directly with the Coronavirus. You wanted to save or be seen as saving the postal service because they donate to Democrats,"[('berniesand', 'NN'), ('that', 'IN'), ('noth', 'DT'), ('directli', 'JJ'), ('coronaviru', 'NN'), ('want', 'VBP'), ('save', 'NN'), ('seen', 'VBN'), ('save', 'VBP'), ('postal', 'JJ'), ('servic', 'JJ'), ('donat', 'NN'), ('democrat', 'NN')]",berniesand noth directli coronaviru want save see save postal servic donat democrat,2
27,So like big ass earthquake in UTAH ... tornado warning in Texas .... coronavirus everywhere... wtf,"[('like', 'IN'), ('earthquak', 'JJ'), ('utah', 'JJ'), ('tornado', 'NN'), ('warn', 'NN'), ('texa', 'NN'), ('coronaviru', 'NN'), ('everywher', 'NN')]",like earthquak utah tornado warn texa coronaviru everywher,1
28,Would love to see all the big cities do this. @LondonBreed,"[('would', 'MD'), ('love', 'VB'), ('citi', 'NN'), ('londonbre', 'NN')]",would love citi londonbre,2
29,What we are seeing over and again is the futility and uselessness of racism in a time of a pandemic and really in any time. I wish it was as easy as declaring racism one of #ThingsWeLeftInThePandemic. But we know it will take more than that.,"[('what', 'WP'), ('see', 'VBP'), ('futil', 'JJ'), ('useless', 'JJ'), ('racism', 'NN'), ('time', 'NN'), ('pandem', 'JJ'), ('realli', 'NN'), ('time', 'NN'), ('wish', 'JJ'), ('easi', 'NN'), ('declar', 'JJ'), ('racism', 'NN'), ('thingsweleftinthepandem', 'NN'), ('know', 'VBP'), ('take', 'VB')]",see futil useless racism time pandem realli time wish easi declar racism thingsweleftinthepandem know take,0
30,#HELP never expected it to come to this needing govt assistance #NoIncome #NoMoney #NoMortgage #NoRent we need immediate #RentMortgageFreeze #COVID19 @MayorOfLA @CAgovernor @abc7kimi @ABC7Jory @abc7eileen @abc7coleen,"[('help', 'NN'), ('never', 'RB'), ('expect', 'VBP'), ('come', 'JJ'), ('need', 'VBP'), ('govt', 'JJ'), ('assist', 'JJ'), ('noincom', 'NN'), ('nomoney', 'NN'), ('nomortgag', 'JJ'), ('norent', 'JJ'), ('need', 'NN'), ('immedi', 'NN'), ('rentmortgagefreez', 'VB'), ('covid', 'JJ'), ('mayorofla', 'NNS'), ('cagovernor', 'VBP'), ('kimi', 'JJ'), ('jori', 'NN'), ('eileen', 'NN'), ('coleen', 'NN')]",help never expect come need govt assist noincom nomoney nomortgag norent need immedi rentmortgagefreez covid mayorofla cagovernor kimi jori eileen coleen,1
31,Every time I see Port of Los Angeles I can\xe2\x80\x99t help but think of Port Angeles. \xf0\x9f\x98\x82\xe2\x98\x81\xef\xb8\x8f,"[('everi', 'JJ'), ('time', 'NN'), ('port', 'NN'), ('angel', 'VBD'), ('help', 'NN'), ('think', 'VB'), ('port', 'NN'), ('angel', 'NN')]",everi time port angel help think port angel,1
32,Yes I agree! https://t.co/i4vS9OPAym,"[('agre', 'NN'), ('http', 'NN'), ('opaym', 'NN')]",agre http opaym,2
33,Changed now,"[('chang', 'NN')]",chang,0
34,@eugenegu @realDonaldTrump @nytimes The death rate is high because they are counting all the dead even with no direct evidence of Covid-19.  1.8 millions die every year in America without the the pandemic. What happened to those dead Americans.,"[('eugenegu', 'JJ'), ('realdonaldtrump', 'NN'), ('nytim', 'JJ'), ('death', 'NN'), ('rate', 'NN'), ('high', 'JJ'), ('count', 'NN'), ('dead', 'JJ'), ('even', 'RB'), ('direct', 'JJ'), ('evid', 'NN'), ('covid', 'NN'), ('million', 'CD'), ('everi', 'JJ'), ('year', 'NN'), ('america', 'NN'), ('without', 'IN'), ('pandem', 'NN'), ('what', 'WP'), ('happen', 'VBZ'), ('dead', 'JJ'), ('american', 'JJ')]",eugenegu realdonaldtrump nytim death rate high count dead even direct evid covid million everi year america without pandem happen dead american,0
35,Thai for the @UCLA Fire Department team. Thank you for your your service \xf0\x9f\x99\x8f #feedthefrontline #teamla #LAFD #besthospital #covid #firstresponders #doctors #nurses #frontline . . . . #foodporn #eat #happy #instagood\xe2\x80\xa6 https://t.co/PJhgNVIxxt,"[('thai', 'NN'), ('ucla', 'JJ'), ('fire', 'NN'), ('depart', 'NN'), ('team', 'NN'), ('thank', 'NN'), ('servic', 'JJ'), ('feedthefrontlin', 'NN'), ('teamla', 'NN'), ('lafd', 'NN'), ('besthospit', 'NN'), ('covid', 'JJ'), ('firstrespond', 'NN'), ('doctor', 'NN'), ('nurs', 'IN'), ('frontlin', 'JJ'), ('foodporn', 'JJ'), ('happi', 'NN'), ('instagood', 'NN'), ('http', 'NN'), ('pjhgnvixxt', 'NN')]",thai ucla fire depart team thank servic feedthefrontlin teamla lafd besthospit covid firstrespond doctor nurs frontlin foodporn happi instagood http pjhgnvixxt,1
36,@ultratrailwtour @wser @mozart100_run We\xe2\x80\x99re sorry about the race being postponed. Would love to have everyone in your community continue to log miles with us for our covid relief programs. We\xe2\x80\x99d love to give your followers early access to join our virtual run challenge: https://t.co/JO1MiHGaER,"[('ultratrailwtour', 'JJ'), ('wser', 'NN'), ('mozart', 'NN'), ('sorri', 'NN'), ('race', 'NN'), ('postpon', 'NN'), ('would', 'MD'), ('love', 'VB'), ('everyon', 'NN'), ('commun', 'NN'), ('continu', 'NN'), ('mile', 'NN'), ('covid', 'JJ'), ('relief', 'NN'), ('program', 'NN'), ('love', 'VBP'), ('give', 'VB'), ('follow', 'JJ'), ('earli', 'NN'), ('access', 'NN'), ('join', 'VBP'), ('virtual', 'JJ'), ('challeng', 'NN'), ('http', 'NN'), ('mihgaer', 'NN')]",ultratrailwtour wser mozart sorri race postpon would love everyon commun continu mile covid relief program love give follow earli access join virtual challeng http mihgaer,1
37,@EpochTimes I would take vegetables to the starving Chinese of Wuhan.  If I had a passport. Maybe through donation to Hong Kong Christian charity. Peas &amp; carrots &amp; a book of John.,"[('epochtim', 'NN'), ('would', 'MD'), ('take', 'VB'), ('veget', 'NN'), ('starv', 'JJ'), ('chines', 'NNS'), ('wuhan', 'WP'), ('passport', 'VBP'), ('mayb', 'NNS'), ('donat', 'VB'), ('hong', 'RB'), ('kong', 'JJ'), ('christian', 'JJ'), ('chariti', 'NN'), ('pea', 'NN'), ('carrot', 'NN'), ('book', 'NN'), ('john', 'NN')]",epochtim would take veget starv chine wuhan passport mayb donat hong kong christian chariti pea carrot book john,1
38,Wtf why we not doing this inna city \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 hella bootc,"[('inna', 'NN'), ('citi', 'VBZ'), ('hella', 'NN'), ('bootc', 'NN')]",inna citi hella bootc,2
39,Can you safely recycle N95 face masks? @LACoSheriff says his department is doing just that. And he shares who created cloth masks for 1000\xe2\x80\x99s of inmates? Next at 11p @NBCLA #COVID19 https://t.co/252iXqs3z3,"[('safe', 'JJ'), ('recycl', 'NN'), ('face', 'NN'), ('mask', 'NN'), ('lacosheriff', 'JJ'), ('say', 'VBP'), ('depart', 'JJ'), ('share', 'NN'), ('creat', 'NN'), ('cloth', 'NN'), ('mask', 'NN'), ('inmat', 'NN'), ('next', 'JJ'), ('nbcla', 'NN'), ('covid', 'NN'), ('http', 'NN'), ('ixq', 'NN')]",safe recycl face mask lacosheriff say depart share creat cloth mask inmat next nbcla covid http ixq,2
40,Maybe we really are in a post fact world when the US media is largely silent about Joe Biden's very rare public app\xe2\x80\xa6 https://t.co/dTEMCpFGBX,"[('mayb', 'NN'), ('realli', 'VBZ'), ('post', 'VBN'), ('fact', 'NN'), ('world', 'NN'), ('media', 'NNS'), ('larg', 'VBP'), ('silent', 'JJ'), ('biden', 'NN'), ('rare', 'JJ'), ('public', 'JJ'), ('http', 'NN'), ('dtemcpfgbx', 'NN')]",mayb realli post fact world medium larg silent biden rare public http dtemcpfgbx,0
41,Yes we are finally all cats ox and dogs,"[('final', 'JJ'), ('cat', 'NN'), ('dog', 'NN')]",final cat dog,2
42,W.T.A.F.\xe2\x9d\x97\xef\xb8\x8f https://t.co/MyeSWm3QEn,"[('http', 'NN'), ('myeswm', 'NN')]",http myeswm,2
43,Thousands of Bay Area residents will be tested for the coronavirus in UCSF- Stanford studies https://t.co/WmzTk07o7U,"[('thousand', 'CD'), ('area', 'NN'), ('resid', 'NN'), ('test', 'NN'), ('coronaviru', 'NN'), ('ucsf', 'JJ'), ('stanford', 'NN'), ('studi', 'NN'), ('http', 'NN'), ('wmztk', 'NN')]",thousand area resid test coronaviru ucsf stanford studi http wmztk,0
44,#NOW: Santa Clara County Health officials say there are now 20 confirmed cases of #coronavirus #ktvu,"[('santa', 'NN'), ('clara', 'NN'), ('counti', 'VBP'), ('health', 'NN'), ('offici', 'NN'), ('confirm', 'NN'), ('case', 'NN'), ('coronaviru', 'NN'), ('ktvu', 'NN')]",santa clara counti health offici confirm case coronaviru ktvu,1
45,why did Millie off the Melatonin not make the cut\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/GgQCBwFJD9,"[('milli', 'NN'), ('melatonin', 'NNS'), ('make', 'VBP'), ('http', 'NN'), ('ggqcbwfjd', 'NN')]",milli melatonin make http ggqcbwfjd,2
46,I\xe2\x80\x99m so glad all of these restaurants are now requiring employees to wash their hands... #COVID19,"[('glad', 'JJ'), ('restaur', 'NN'), ('requir', 'NN'), ('employe', 'NN'), ('wash', 'NN'), ('hand', 'NN'), ('covid', 'NN')]",glad restaur requir employe wash hand covid,1
47,Made a UV light sanitizer box with timer remote for our #VR headsets. Donated it to a local hospital to clean their #facemasks and #PPE #pandemic #Covid_19 https://t.co/ShqfPbUE9c,"[('made', 'VBN'), ('light', 'JJ'), ('sanit', 'NNS'), ('timer', 'VBP'), ('remot', 'NN'), ('headset', 'NN'), ('donat', 'NN'), ('local', 'JJ'), ('hospit', 'NN'), ('clean', 'JJ'), ('facemask', 'NN'), ('pandem', 'NN'), ('covid', 'NN'), ('http', 'NN'), ('shqfpbue', 'NN')]",make light sanit timer remot headset donat local hospit clean facemask pandem covid http shqfpbue,1
48,\xf0\x9f\x98\xa2,[],,2
49,IS SHE DUMB OR IS SHE DUMB??? https://t.co/BmkYOEeELP,"[('dumb', 'JJ'), ('dumb', 'JJ'), ('http', 'NN'), ('bmkyoeeelp', 'NN')]",dumb dumb http bmkyoeeelp,2
50,*Por fin se muda a California*  *Hay una pandemia*   https://t.co/cnZKRLujrB,"[('muda', 'NN'), ('california', 'NN'), ('pandemia', 'NN'), ('http', 'NN'), ('cnzkrlujrb', 'NN')]",muda california pandemia http cnzkrlujrb,0
51,The Four Men Responsible For America's #COVID19 Test Disaster  https://t.co/vdNRW3iKZT,"[('four', 'CD'), ('respons', 'NNS'), ('america', 'RB'), ('covid', 'VBP'), ('test', 'NN'), ('disast', 'NN'), ('http', 'NN'), ('vdnrw', 'NN'), ('ikzt', 'NN')]",four respons america covid test disast http vdnrw ikzt,2
52,Fuck that bitch COVID,"[('fuck', 'JJ'), ('bitch', 'NN'), ('covid', 'NN')]",fuck bitch covid,2
53,\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc Quarantined during lent has me focused af. Praying for a miracle. Blessings in the way thank you. Le\xe2\x80\xa6 https://t.co/KXtCAby5Mo,"[('quarantin', 'JJ'), ('lent', 'JJ'), ('focus', 'NN'), ('pray', 'NN'), ('miracl', 'NN'), ('bless', 'NN'), ('thank', 'NN'), ('http', 'NN'), ('kxtcabi', 'NN')]",quarantin lent focus pray miracl bless thank http kxtcabi,2
54,#coronavirus or #MurderHornets ?  \xf0\x9f\x98\xb7\xf0\x9f\x90\x9d https://t.co/PSOqs8NmVt,"[('coronaviru', 'JJ'), ('murderhornet', 'NN'), ('http', 'NN'), ('psoq', 'NN'), ('nmvt', 'NN')]",coronaviru murderhornet http psoq nmvt,2
55,\xf0\x9f\x8d\x86\xf0\x9f\x98\x8d\xf0\x9f\x92\xa6,[],,2
56,@kylegriffin1 @PhilipRucker Hey Phil go inject some disinfectant or get some light inside your body so COVID19 forwent get you! And he calls you fake news\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xaf https://t.co/u4oEfrH7pa,"[('kylegriffin', 'NN'), ('philipruck', 'NN'), ('phil', 'NN'), ('inject', 'JJ'), ('disinfect', 'NN'), ('light', 'JJ'), ('insid', 'NN'), ('bodi', 'NN'), ('covid', 'JJ'), ('forwent', 'NN'), ('call', 'NN'), ('fake', 'VBP'), ('news', 'NN'), ('http', 'NN'), ('oefrh', 'NN')]",kylegriffin philipruck phil inject disinfect light insid bodi covid forwent call fake news http oefrh,1
57,Despicable how an American diplomat deliberately goes out of his way to call it \xe2\x80\x9cChinese coronavirus\xe2\x80\x9d when the WHO renamed it COVID-19 to avoid xenophobia that is on the rise worldwide smh,"[('despic', 'JJ'), ('american', 'JJ'), ('diplomat', 'NN'), ('deliber', 'VB'), ('goe', 'JJ'), ('call', 'NN'), ('cchines', 'NNS'), ('coronaviru', 'VBP'), ('renam', 'NN'), ('covid', 'NN'), ('avoid', 'NN'), ('xenophobia', 'NNP'), ('rise', 'NN'), ('worldwid', 'NN')]",despic american diplomat deliber goe call cchines coronaviru renam covid avoid xenophobia rise worldwid,1
58,This is very sweet.,"[('thi', 'NN'), ('sweet', 'NN')]",thi sweet,2
59,Sadly,"[('sadli', 'NN')]",sadli,2
60,Wow... !,[],,2
61,Worrying about illegal moves by Trump seems a bit futile at the moment! We know what he is and where he is. That\xe2\x80\x99s all that is needed. November is coming!,"[('worri', 'NN'), ('illeg', 'NN'), ('move', 'NN'), ('trump', 'NN'), ('seem', 'VBP'), ('futil', 'JJ'), ('moment', 'NN'), ('know', 'VBP'), ('that', 'IN'), ('need', 'VBP'), ('novemb', 'DT'), ('come', 'VB')]",worri illeg move trump seem futil moment know need novemb come,0
62,Una teor\xc3\xada sorprendente y dif\xc3\xadcil de creer de Stanford dice que los californianos podr\xc3\xadamos haber ganado inmunidad en grupo el a\xc3\xb1o pasado. El Coronavirus llevar\xc3\xada tiempo circulando por la poblaci\xc3\xb3n. En unas semanas tendremos los resultados del estudio https://t.co/NVeBMYj19c,"[('teor', 'NN'), ('xada', 'NNP'), ('sorprendent', 'NN'), ('xadcil', 'NNP'), ('creer', 'NN'), ('stanford', 'NN'), ('dice', 'NN'), ('californiano', 'NN'), ('podr', 'NN'), ('xadamo', 'NNP'), ('haber', 'NNP'), ('ganado', 'NN'), ('inmunidad', 'NN'), ('grupo', 'NN'), ('pasado', 'NN'), ('coronaviru', 'NN'), ('llevar', 'NN'), ('xada', 'NNP'), ('tiempo', 'VBZ'), ('circulando', 'JJ'), ('poblaci', 'NN'), ('una', 'JJ'), ('semana', 'NN'), ('tendremo', 'NN'), ('resultado', 'NN'), ('estudio', 'NN'), ('http', 'NN'), ('nvebmyj', 'NN')]",teor xada sorprendent xadcil creer stanford dice californiano podr xadamo haber ganado inmunidad grupo pasado coronaviru llevar xada tiempo circulando poblaci una semana tendremo resultado estudio http nvebmyj,1
63,Day 2 of \xe2\x80\x9dstay at home\xe2\x80\x9d has got me doing some clean up on Eleanor. I'll post finish pics later and I have a few new\xe2\x80\xa6 https://t.co/A3nlhKbZre,"[('dstay', 'NN'), ('home', 'NN'), ('clean', 'NN'), ('eleanor', 'VBZ'), ('post', 'NN'), ('finish', 'JJ'), ('pic', 'NN'), ('later', 'RB'), ('http', 'VBD'), ('nlhkbzre', 'NNS')]",dstay home clean eleanor post finish pic later http nlhkbzre,0
64,@dianelyssa Yep: Wuhan virus  Certainly not subtle,"[('dianelyssa', 'NN'), ('wuhan', 'NN'), ('viru', 'NN'), ('certainli', 'NN'), ('subtl', 'NN')]",dianelyssa wuhan viru certainli subtl,2
65,https://t.co/aSw4j9OfVn,"[('http', 'NN'), ('ofvn', 'NN')]",http ofvn,2
66,\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc,[],,2
67,Nigga that shit touched her brain\xf0\x9f\xa5\xb4,"[('nigga', 'JJ'), ('shit', 'VBD'), ('touch', 'JJ'), ('brain', 'NN')]",nigga shit touch brain,2
68,@bessie_moa Sis even without corona they be tapping non stop \xf0\x9f\x99\x84\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3,"[('bessi', 'RB'), ('even', 'RB'), ('without', 'IN'), ('corona', 'NN'), ('tap', 'NN'), ('stop', 'NN')]",bessi even without corona tap stop,1
69,Stupidity...quarantine all employees.  Other stations are staying on air with people at home,"[('stupid', 'JJ'), ('quarantin', 'NN'), ('employe', 'VBZ'), ('other', 'JJ'), ('station', 'NN'), ('stay', 'VBP'), ('peopl', 'RB'), ('home', 'NN')]",stupid quarantin employe station stay peopl home,1
70,\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3,[],,2
71,COVID-19 in the US #covid19 https://t.co/hB1p3i2R9N,"[('covid', 'NN'), ('covid', 'NN'), ('http', 'NN')]",covid covid http,2
72,Brilliant.,"[('brilliant', 'NN')]",brilliant,2
73,People think \xe2\x80\x9clock down\xe2\x80\x9d means you can\xe2\x80\x99t go outside \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f,"[('peopl', 'NN'), ('think', 'VBP'), ('clock', 'NN'), ('mean', 'NN'), ('outsid', 'NN')]",peopl think clock mean outsid,1
74,@JBsTwoCents They caught COVID-19's bouquet?! That means they're getting married next!,"[('jbstwocent', 'NN'), ('they', 'PRP'), ('caught', 'VBD'), ('covid', 'NN'), ('bouquet', 'NN'), ('that', 'WDT'), ('mean', 'VBP'), ('get', 'VB'), ('marri', 'JJ'), ('next', 'JJ')]",jbstwocent catch covid bouquet mean get marri next,0
75,LMFAOOO,"[('lmfaooo', 'NN')]",lmfaooo,2
76,https://t.co/54JX1vS4wr,"[('http', 'NN')]",http,2
